animal,Common_Name,Family,Family_Common,Alternatives and notes,selector_caption,Selector_Caption
Oceanites_oceanicus,Wilson's Storm-Petrel,Oceanitidae,Oceanitidae (Southern Storm Petrels),,Oceanites oceanicus (Wilson's storm-petrel),Oceanites oceanicus (Wilson's Storm-Petrel)
Pelagodroma_marina,White-faced Storm Petrel,Oceanitidae,Oceanitidae (Southern Storm Petrels),,Pelagodroma marina (white-faced storm petrel),Pelagodroma marina (White-faced Storm Petrel)
Pelecanus_occidentalis,Brown Pelican,Pelecanidae,Pelecanidae (Pelicans),,Pelecanus occidentalis (brown pelican),Pelecanus occidentalis (Brown Pelican)
Pelecanus_onocrotalus,Great White Pelican,Pelecanidae,Pelecanidae (Pelicans),,Pelecanus onocrotalus (great white pelican),Pelecanus onocrotalus (Great White Pelican)
Pelecanus_thagus,Peruvian Pelican,Pelecanidae,Pelecanidae (Pelicans),,Pelecanus thagus (Peruvian pelican),Pelecanus thagus (Peruvian Pelican)
Phaethon_aethereus,Red-billed Tropicbird,Phaethontidae,Phaethontidae (Tropicbirds),,Phaethon aethereus (red-billed tropicbird),Phaethon aethereus (Red-billed Tropicbird)
Phaethon_lepturus,White-tailed Tropicbird,Phaethontidae,Phaethontidae (Tropicbirds),,Phaethon lepturus (white-tailed tropicbird),Phaethon lepturus (White-tailed Tropicbird)
Phaethon_rubricauda,Red-tailed Tropicbird,Phaethontidae,Phaethontidae (Tropicbirds),,Phaethon rubricauda (red-tailed tropicbird),Phaethon rubricauda (Red-tailed Tropicbird)
Phalacrocorax_aristotelis,European Shag,Phalacrocoracidae,Phalacrocoracidae (Cormorants & Shags),,Phalacrocorax aristotelis (European shag),Phalacrocorax aristotelis (European Shag)
Phalacrocorax_atriceps,Imperial Shag,Phalacrocoracidae,Phalacrocoracidae (Cormorants & Shags),,Phalacrocorax atriceps (imperial shag),Phalacrocorax atriceps (Imperial Shag)
Phalacrocorax_auritus,Double-crested Cormorant,Phalacrocoracidae,Phalacrocoracidae (Cormorants & Shags),,Phalacrocorax auritus (double-crested cormorant),Phalacrocorax auritus (Double-crested Cormorant)
Phalacrocorax_bougainvillii,Guanay Cormorant,Phalacrocoracidae,Phalacrocoracidae (Cormorants & Shags),Phalacrocorax bougainvilliorum ,Phalacrocorax bougainvillii (Guanay cormorant),Phalacrocorax bougainvillii (Guanay Cormorant)
Phalacrocorax_brasilianus,Neotropical Cormorant,Phalacrocoracidae,Phalacrocoracidae (Cormorants & Shags),,Phalacrocorax brasilianus (Neotropical cormorant),Phalacrocorax brasilianus (Neotropical Cormorant)
Phalacrocorax_campbelli,Campbell Shag,Phalacrocoracidae,Phalacrocoracidae (Cormorants & Shags),,Phalacrocorax campbelli (Campbell shag),Phalacrocorax campbelli (Campbell Shag)
Phalacrocorax_capensis,Cape Cormorant,Phalacrocoracidae,Phalacrocoracidae (Cormorants & Shags),,Phalacrocorax capensis (Cape cormorant),Phalacrocorax capensis (Cape Cormorant)
